hour,minute,desktop,smartphone,tablet,other mobile
9, 26 , 203 , 42 , 57 , 4 
9, 27 , 203 , 45 , 53 , 5 
9, 28 , 199 , 47 , 53 , 5 
9, 29 , 198 , 49 , 55 , 5 
9, 30 , 192 , 47 , 61 , 4 
9, 31 , 187 , 54 , 66 , 4 
9, 32 , 189 , 48 , 59 , 5 
9, 33 , 189 , 41 , 52 , 5 
9, 34 , 189 , 45 , 58 , 5 
9, 35 , 191 , 46 , 62 , 5 
9, 36 , 197 , 49 , 53 , 5 
9, 37 , 187 , 51 , 51 , 5 
9, 38 , 179 , 45 , 51 , 5 
9, 39 , 176 , 49 , 59 , 5 
9, 40 , 180 , 55 , 60 , 5 
9, 41 , 182 , 45 , 62 , 5 
9, 42 , 180 , 48 , 54 , 5 
9, 43 , 181 , 52 , 55 , 5 
9, 44 , 179 , 45 , 62 , 5 
9, 45 , 219 , 49 , 63 , 3 
9, 46 , 180 , 47 , 63 , 3 
9, 47 , 177 , 46 , 54 , 4 
9, 48 , 180 , 47 , 60 , 4 
9, 49 , 172 , 47 , 59 , 4 
9, 50 , 169 , 42 , 63 , 5 
9, 51 , 193 , 47 , 70 , 5 
9, 52 , 175 , 42 , 62 , 6 
9, 53 , 173 , 43 , 70 , 5 
9, 54 , 159 , 42 , 65 , 5 
9, 55 , 161 , 43 , 63 , 5 
9, 56 , 153 , 43 , 63 , 7 
9, 57 , 173 , 45 , 63 , 4 
9, 58 , 160 , 49 , 65 , 5 
9, 59 , 159 , 47 , 61 , 6 
10, -   , 159 , 48 , 55 , 5 
10, 1 , 170 , 47 , 62 , 5 
10, 2 , 184 , 51 , 65 , 4 
10, 3 , 174 , 44 , 70 , 4 
10, 4 , 187 , 43 , 60 , 7 
10, 5 , 185 , 49 , 63 , 5 
10, 6 , 168 , 45 , 60 , 5 
10, 7 , 166 , 47 , 62 , 4 
10, 8 , 163 , 51 , 62 , 5 
10, 9 , 169 , 53 , 62 , 5 
10, 10 , 177 , 52 , 67 , 4 
10, 11 , 165 , 49 , 70 , 4 
10, 12 , 166 , 57 , 61 , 5 
10, 13 , 168 , 57 , 67 , 4 
10, 14 , 165 , 60 , 64 , 5 
10, 15 , 176 , 59 , 62 , 4 
10, 16 , 179 , 54 , 62 , 5 
10, 17 , 167 , 57 , 64 , 4 
10, 18 , 167 , 49 , 65 , 4 
10, 19 , 163 , 50 , 63 , 7 
10, 20 , 155 , 56 , 60 , 5 
10, 21 , 158 , 53 , 68 , 5 
10, 22 , 156 , 55 , 68 , 5 
10, 23 , 159 , 47 , 63 , 5 
10, 24 , 155 , 52 , 60 , 5 
10, 25 , 159 , 55 , 65 , 4 
10, 26 , 154 , 56 , 71 , 4 
10, 27 , 156 , 59 , 71 , 6 
10, 28 , 159 , 55 , 69 , 5 
10, 29 , 151 , 53 , 75 , 4 
10, 30 , 162 , 53 , 73 , 4 
10, 31 , 155 , 52 , 63 , 6 
