hour,minute,desktop,smartphone,tablet,other mobile
7, 16 , 368 , 100 , 211 , 8 
7, 17 , 363 , 99 , 216 , 9 
7, 18 , 374 , 102 , 214 , 8 
7, 19 , 381 , 93 , 204 , 9 
7, 20 , 380 , 106 , 205 , 10 
7, 21 , 378 , 101 , 201 , 11 
7, 22 , 391 , 100 , 211 , 9 
7, 23 , 404 , 95 , 199 , 11 
7, 24 , 396 , 98 , 203 , 8 
7, 25 , 391 , 99 , 206 , 6 
7, 26 , 420 , 92 , 207 , 7 
7, 27 , 401 , 101 , 201 , 9 
7, 28 , 397 , 99 , 188 , 9 
7, 29 , 397 , 94 , 191 , 8 
7, 30 , 421 , 97 , 212 , 8 
7, 31 , 399 , 95 , 204 , 7 
7, 32 , 392 , 97 , 194 , 8 
7, 33 , 404 , 97 , 190 , 9 
7, 34 , 397 , 93 , 192 , 11 
7, 35 , 404 , 91 , 192 , 10 
7, 36 , 398 , 97 , 190 , 13 
7, 37 , 394 , 102 , 197 , 9 
7, 38 , 413 , 101 , 196 , 8 
7, 39 , 434 , 98 , 187 , 8 
7, 40 , 406 , 96 , 189 , 10 
7, 41 , 403 , 93 , 177 , 8 
7, 42 , 423 , 96 , 182 , 8 
7, 43 , 420 , 91 , 178 , 8 
7, 44 , 438 , 91 , 184 , 7 
7, 45 , 454 , 88 , 175 , 9 
7, 46 , 450 , 91 , 184 , 10 
7, 47 , 456 , 97 , 181 , 10 
7, 48 , 441 , 93 , 184 , 8 
7, 49 , 442 , 96 , 179 , 8 
7, 50 , 457 , 89 , 178 , 8 
7, 51 , 454 , 91 , 187 , 10 
7, 52 , 448 , 89 , 184 , 11 
7, 53 , 465 , 87 , 191 , 9 
7, 54 , 456 , 88 , 186 , 8 
7, 55 , 461 , 98 , 181 , 8 
7, 56 , 481 , 89 , 173 , 8 
7, 57 , 501 , 90 , 171 , 9 
7, 58 , 467 , 85 , 173 , 7 
7, 59 , 468 , 80 , 175 , 8 
8, -   , 482 , 88 , 158 , 8 
8, 1 , 505 , 78 , 161 , 7 
8, 2 , 487 , 79 , 174 , 8 
8, 3 , 498 , 78 , 154 , 10 
8, 4 , 498 , 78 , 160 , 10 
8, 5 , 498 , 82 , 160 , 10 
8, 6 , 512 , 79 , 157 , 8 
