hour,minute,desktop,smartphone,tablet,other
6, 30 , 141 , 61 , 71 , 10 
6, 31 , 142 , 59 , 68 , 8 
6, 32 , 140 , 64 , 61 , 9 
6, 33 , 146 , 65 , 59 , 9 
6, 34 , 146 , 66 , 64 , 8 
6, 35 , 141 , 69 , 59 , 9 
6, 36 , 134 , 66 , 54 , 10 
6, 37 , 128 , 65 , 60 , 8 
6, 38 , 142 , 64 , 97 , 9 
6, 39 , 141 , 63 , 58 , 8 
6, 40 , 151 , 63 , 71 , 9 
6, 41 , 133 , 63 , 62 , 9 
6, 42 , 127 , 60 , 58 , 10 
6, 43 , 129 , 57 , 64 , 8 
6, 44 , 130 , 63 , 57 , 11 
6, 45 , 128 , 64 , 55 , 8 
6, 46 , 137 , 64 , 60 , 8 
6, 47 , 134 , 65 , 59 , 8 
6, 48 , 124 , 56 , 55 , 8 
6, 49 , 123 , 54 , 53 , 7 
6, 50 , 120 , 57 , 58 , 8 
6, 51 , 156 , 57 , 60 , 7 
6, 52 , 143 , 59 , 60 , 9 
6, 53 , 141 , 56 , 56 , 8 
6, 54 , 132 , 55 , 56 , 9 
6, 55 , 121 , 56 , 56 , 10 
6, 56 , 123 , 55 , 56 , 7 
6, 57 , 138 , 52 , 50 , 7 
6, 58 , 126 , 54 , 57 , 6 
6, 59 , 120 , 51 , 51 , 8 
7, -   , 137 , 54 , 49 , 7 
7, 1 , 175 , 54 , 51 , 8 
7, 2 , 183 , 59 , 52 , 7 
7, 3 , 165 , 54 , 71 , 7 
7, 4 , 176 , 53 , 48 , 9 
7, 5 , 164 , 48 , 51 , 7 
7, 6 , 158 , 58 , 50 , 7 
7, 7 , 144 , 51 , 42 , 8 
7, 8 , 137 , 50 , 49 , 6 
7, 9 , 129 , 56 , 47 , 9 
7, 10 , 128 , 52 , 48 , 8 
7, 11 , 132 , 47 , 44 , 8 
7, 12 , 120 , 49 , 45 , 8 
7, 13 , 117 , 49 , 43 , 7 
7, 14 , 133 , 52 , 45 , 8 
7, 15 , 141 , 48 , 46 , 8 
7, 16 , 134 , 47 , 50 , 10 
7, 17 , 115 , 51 , 46 , 9 
7, 18 , 117 , 44 , 42 , 8 
7, 19 , 111 , 48 , 42 , 9 
7, 20 , 112 , 45 , 49 , 8 
7, 21 , 105 , 46 , 47 , 8 
7, 22 , 106 , 54 , 49 , 9 
7, 23 , 126 , 54 , 49 , 10 
7, 24 , 110 , 40 , 47 , 10 
7, 25 , 113 , 45 , 45 , 8 
7, 26 , 112 , 52 , 44 , 9 
7, 27 , 114 , 53 , 42 , 8 
7, 28 , 112 , 49 , 39 , 9 
7, 29 , 108 , 46 , 43 , 9 
7, 30 , 114 , 44 , 43 , 9 
7, 31 , 112 , 37 , 38 , 8 
7, 32 , 112 , 45 , 35 , 9 
7, 33 , 120 , 44 , 39 , 9 
7, 34 , 117 , 46 , 39 , 8 
7, 35 , 125 , 47 , 38 , 9 
