hour,minute,desktop,smartphone,tablet,other mobile
3, 38 , 352 , 224 , 173 , 205 , 14 
3, 39 , 338 , 249 , 162 , 196 , 17 
3, 40 , 323 , 239 , 171 , 196 , 17 
3, 41 , 305 , 217 , 164 , 204 , 18 
3, 42 , 301 , 215 , 169 , 193 , 18 
3, 43 , 299 , 217 , 172 , 208 , 15 
3, 44 , 308 , 230 , 161 , 202 , 15 
3, 45 , 328 , 259 , 163 , 205 , 14 
3, 46 , 315 , 237 , 170 , 193 , 18 
3, 47 , 297 , 233 , 168 , 192 , 16 
3, 48 , 292 , 215 , 165 , 182 , 16 
3, 49 , 297 , 214 , 160 , 182 , 15 
3, 50 , 299 , 210 , 161 , 205 , 17 
3, 51 , 355 , 268 , 172 , 195 , 16 
3, 52 , 303 , 230 , 158 , 200 , 15 
3, 53 , 322 , 246 , 161 , 206 , 16 
3, 54 , 309 , 222 , 161 , 195 , 18 
3, 55 , 292 , 211 , 163 , 197 , 19 
3, 56 , 288 , 204 , 160 , 185 , 14 
3, 57 , 327 , 252 , 161 , 184 , 19 
3, 58 , 294 , 211 , 155 , 183 , 17 
3, 59 , 278 , 199 , 155 , 179 , 17 
4, -   , 317 , 242 , 156 , 182 , 13 
4, 1 , 427 , 339 , 151 , 175 , 14 
4, 2 , 423 , 334 , 149 , 172 , 17 
4, 3 , 387 , 300 , 153 , 169 , 16 
4, 4 , 421 , 318 , 151 , 170 , 16 
4, 5 , 404 , 298 , 156 , 180 , 14 
4, 6 , 357 , 277 , 160 , 172 , 16 
4, 7 , 339 , 251 , 165 , 170 , 15 
4, 8 , 322 , 232 , 155 , 171 , 14 
4, 9 , 301 , 215 , 148 , 182 , 16 
4, 10 , 305 , 205 , 150 , 175 , 15 
4, 11 , 274 , 199 , 147 , 175 , 15 
4, 12 , 292 , 193 , 160 , 178 , 16 
4, 13 , 281 , 200 , 160 , 178 , 16 
4, 14 , 322 , 243 , 148 , 173 , 14 
4, 15 , 352 , 272 , 147 , 167 , 14 
4, 16 , 322 , 229 , 145 , 159 , 14 
4, 17 , 299 , 213 , 159 , 167 , 13 
4, 18 , 275 , 194 , 142 , 155 , 16 
4, 19 , 268 , 192 , 155 , 158 , 17 
4, 20 , 252 , 191 , 143 , 165 , 14 
4, 21 , 249 , 181 , 136 , 160 , 15 
4, 22 , 252 , 176 , 137 , 156 , 12 
4, 23 , 307 , 235 , 138 , 161 , 13 
4, 24 , 251 , 173 , 144 , 144 , 14 
4, 25 , 262 , 184 , 140 , 149 , 13 
4, 26 , 267 , 204 , 146 , 152 , 11 
4, 27 , 275 , 213 , 137 , 158 , 14 
4, 28 , 253 , 194 , 137 , 155 , 15 
4, 29 , 247 , 178 , 130 , 156 , 14 
4, 30 , 252 , 195 , 130 , 150 , 17 
4, 31 , 268 , 203 , 137 , 152 , 14 
4, 32 , 246 , 176 , 142 , 154 , 15 
4, 33 , 260 , 186 , 141 , 150 , 15 
4, 34 , 268 , 178 , 137 , 139 , 15 
4, 35 , 248 , 167 , 141 , 144 , 15 
4, 36 , 237 , 167 , 134 , 141 , 15 
4, 37 , 251 , 160 , 136 , 135 , 13 
4, 38 , 265 , 184 , 133 , 141 , 13 
4, 39 , 258 , 202 , 133 , 141 , 14 
4, 40 , 251 , 190 , 133 , 129 , 15 
4, 41 , 244 , 185 , 136 , 139 , 12 
4, 42 , 242 , 163 , 123 , 138 , 13 
4, 43 , 225 , 167 , 125 , 134 , 12 
4, 44 , 229 , 175 , 131 , 135 , 13 
4, 45 , 262 , 195 , 131 , 132 , 13 
4, 46 , 248 , 178 , 125 , 126 , 11 
4, 47 , 236 , 170 , 131 , 127 , 12 
4, 48 , 232 , 165 , 122 , 136 , 12 
4, 49 , 226 , 147 , 124 , 131 , 15 
4, 50 , 216 , 159 , 123 , 128 , 14 
4, 51 , 275 , 202 , 118 , 129 , 15 
4, 52 , 248 , 179 , 119 , 132 , 15 
4, 53 , 257 , 184 , 114 , 129 , 14 
4, 54 , 228 , 166 , 123 , 128 , 14 
4, 55 , 212 , 162 , 116 , 117 , 14 
4, 56 , 214 , 151 , 119 , 124 , 14 
4, 57 , 252 , 201 , 111 , 118 , 9 
4, 58 , 234 , 172 , 120 , 124 , 10 
4, 59 , 226 , 157 , 125 , 120 , 13 
5, -   , 247 , 185 , 122 , 126 , 15 
5, 1 , 353 , 260 , 121 , 121 , 12 
5, 2 , 331 , 257 , 111 , 129 , 11 
5, 3 , 297 , 227 , 114 , 124 , 12 
5, 4 , 309 , 255 , 117 , 111 , 11 
5, 5 , 303 , 248 , 113 , 116 , 11 
5, 6 , 275 , 210 , 113 , 118 , 12 
5, 7 , 261 , 210 , 110 , 115 , 14 
5, 8 , 242 , 187 , 105 , 112 , 12 
5, 9 , 227 , 176 , 105 , 117 , 12 
5, 10 , 224 , 163 , 109 , 115 , 12 
5, 11 , 210 , 158 , 107 , 108 , 12 
5, 12 , 207 , 141 , 111 , 118 , 13 
5, 13 , 205 , 148 , 104 , 114 , 13 
5, 14 , 232 , 179 , 105 , 118 , 12 
5, 15 , 285 , 211 , 99 , 107 , 13 
5, 16 , 223 , 181 , 113 , 113 , 11 
5, 17 , 209 , 161 , 105 , 111 , 12 
5, 18 , 197 , 155 , 94 , 115 , 11 
5, 19 , 191 , 143 , 105 , 104 , 13 
