hour,minute,desktop,smartphone,tablet,other
6, 3 , 114 , 186 , 330 , 7 
6, 4 , 114 , 186 , 339 , 7 
6, 5 , 114 , 190 , 347 , 5 
6, 6 , 110 , 187 , 348 , 6 
6, 7 , 117 , 183 , 361 , 9 
6, 8 , 113 , 191 , 360 , 9 
6, 9 , 117 , 191 , 355 , 8 
6, 10 , 129 , 205 , 358 , 6 
6, 11 , 132 , 206 , 359 , 6 
6, 12 , 126 , 213 , 371 , 9 
6, 13 , 137 , 209 , 385 , 7 
6, 14 , 141 , 213 , 382 , 7 
6, 15 , 149 , 214 , 401 , 5 
6, 16 , 144 , 226 , 411 , 7 
6, 17 , 142 , 217 , 425 , 8 
6, 18 , 149 , 219 , 423 , 7 
6, 19 , 151 , 238 , 423 , 6 
6, 20 , 153 , 251 , 404 , 7 
6, 21 , 168 , 244 , 426 , 7 
6, 22 , 165 , 246 , 435 , 8 
6, 23 , 165 , 255 , 463 , 7 
6, 24 , 173 , 248 , 470 , 7 
6, 25 , 168 , 262 , 472 , 8 
6, 26 , 171 , 254 , 463 , 8 
6, 27 , 171 , 267 , 467 , 7 
6, 28 , 166 , 267 , 477 , 9 
6, 29 , 163 , 268 , 470 , 6 
6, 30 , 167 , 288 , 495 , 10 
6, 31 , 175 , 275 , 504 , 9 
6, 32 , 167 , 280 , 495 , 8 
6, 33 , 169 , 291 , 482 , 9 
6, 34 , 180 , 294 , 514 , 11 
6, 35 , 186 , 281 , 523 , 9 
6, 36 , 189 , 305 , 503 , 8 
6, 37 , 188 , 302 , 533 , 10 
6, 38 , 186 , 317 , 548 , 7 
6, 39 , 204 , 304 , 560 , 7 
6, 40 , 199 , 320 , 547 , 10 
6, 41 , 210 , 323 , 551 , 11 
6, 42 , 197 , 317 , 559 , 12 
6, 43 , 205 , 333 , 568 , 10 
6, 44 , 213 , 324 , 564 , 11 
6, 45 , 215 , 321 , 578 , 12 
6, 46 , 219 , 327 , 559 , 10 
6, 47 , 235 , 332 , 576 , 13 
6, 48 , 218 , 330 , 547 , 12 
6, 49 , 231 , 337 , 579 , 12 
6, 50 , 231 , 324 , 577 , 11 
6, 51 , 240 , 332 , 588 , 12 
6, 52 , 244 , 331 , 590 , 15 
6, 53 , 257 , 338 , 597 , 13 
6, 54 , 251 , 351 , 612 , 11 
6, 55 , 243 , 344 , 585 , 10 
6, 56 , 252 , 354 , 603 , 12 
6, 57 , 259 , 349 , 610 , 14 
6, 58 , 260 , 328 , 617 , 12 
6, 59 , 262 , 350 , 626 , 13 
7, -   , 266 , 351 , 629 , 12 
7, 1 , 256 , 362 , 619 , 16 
7, 2 , 265 , 367 , 630 , 15 
7, 3 , 271 , 355 , 636 , 14 
7, 4 , 286 , 360 , 640 , 14 
7, 5 , 286 , 362 , 622 , 14 
7, 6 , 288 , 375 , 618 , 13 
7, 7 , 295 , 370 , 614 , 14 
7, 8 , 294 , 374 , 637 , 16 
7, 9 , 305 , 382 , 613 , 20 
7, 10 , 311 , 386 , 634 , 15 
7, 11 , 315 , 379 , 649 , 13 
7, 12 , 328 , 382 , 642 , 14 
7, 13 , 334 , 385 , 634 , 11 
7, 14 , 344 , 368 , 649 , 11 
7, 15 , 343 , 388 , 644 , 12 
7, 16 , 335 , 400 , 637 , 16 
7, 17 , 344 , 380 , 635 , 18 
7, 18 , 364 , 383 , 645 , 14 
7, 19 , 363 , 385 , 653 , 16 
7, 20 , 357 , 380 , 658 , 16 
7, 21 , 379 , 386 , 660 , 16 
7, 22 , 378 , 390 , 652 , 16 
7, 23 , 400 , 391 , 650 , 14 
